Gender,Age Group,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,233382,214040,19342
Female,50-64 years,112153,103753,8400
Female,65-79 years,64062,62605,1457
Female,80+ years,19787,19722,65
Female,Unknown,452,442,10
Female,Total,429836,400562,29274
Male,16-49 years,125120,113628,11492
Male,50-64 years,67655,62242,5413
Male,65-79 years,55061,53501,1560
Male,80+ years,14315,14239,76
Male,Unknown,286,278,8
Male,Total,262437,243888,18549
Unknown,16-49 years,2533,2487,46
Unknown,50-64 years,1383,1346,37
Unknown,65-79 years,3751,3746,5
Unknown,80+ years,613,613,0
Unknown,Unknown,6,6,0
Unknown,Total,8286,8198,88
Texas,,700559,652648,47911
