Gender,Age Group,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,295878,247578,48300
Female,50-64 years,145279,125870,19409
Female,65-79 years,96316,92890,3426
Female,80+ years,29892,29730,162
Female,Unknown,541,519,22
Female,Total,567906,496587,71319
Male,16-49 years,159647,133402,26245
Male,50-64 years,88705,76929,11776
Male,65-79 years,82165,78821,3344
Male,80+ years,21555,21362,193
Male,Unknown,342,333,9
Male,Total,352414,310847,41567
Unknown,16-49 years,2793,2670,123
Unknown,50-64 years,1506,1440,66
Unknown,65-79 years,3935,3921,14
Unknown,80+ years,657,657,0
Unknown,Unknown,8,8,0
Unknown,Total,8899,8696,203
Texas,,929219,816130,113089
